schema,table,ordinal,column,data_type
bi_jus_vn,etl_ingame_gardenremoveunit,25,os_ver,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,26,owner_id,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,27,region,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,28,role_id,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,29,server,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,30,tdid,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,31,transid,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,32,tsforvng,timestamp(6) with time zone
bi_jus_vn,etl_ingame_gardenremoveunit,33,udid,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,34,unisdk_deviceid,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,35,unit_id,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,36,urs,varchar
bi_jus_vn,etl_ingame_gardenremoveunit,37,ds,date
bi_jus_vn,etl_ingame_gardenshopbuybegin,1,log_type,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,2,__event_id,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,3,account_id,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,4,app_channel,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,5,app_ver,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,6,caid,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,7,call_id,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,8,consume_zi_cai,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,9,count,bigint
bi_jus_vn,etl_ingame_gardenshopbuybegin,10,country_code,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,11,device_height,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,12,device_model,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,13,device_width,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,14,engine_ver,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,15,garden_id,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,16,good_id,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,17,imei,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,18,is_emulator,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,19,is_root,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,20,isp,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,21,language,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,22,mac_addr,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,23,network,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,24,oaid,varchar
bi_jus_vn,etl_ingame_gardenshopbuybegin,25,old_accountid,varchar
